text,label
"contact froid, manque esprit commerant. tarifs excessifs. marge ngociation lien immatriel satisfaisant.",0
a chaque fois tlphone repondent vont relancer demande bougent pa biensur jamais meme personne tlphone a eviter,0
assurance a viter a tout prix,0
assez d'informations,0
satisfaite j'apprcie,1
super prix,1
nai rappel,0
"service catastrophique aucun suivi leurs dossiers, aucune reactivit. desagreables ... juste professionel sans beaucoup d'intert leurs clients. dconseille fortement cette assurance.",0
j'ai du tarifs correspondent tout comparatif net j'appel a publicit mensongre,0
comme mattendais...,0
assurance auto trop chre,0
rponse suite conversation tlphonique envoie d'une carte grise devi moto.,0
chre concurrents mmes prestations,0
"j'ai longtemps ignore agent place discutaient entre eux. puis, sans questionner, m'a dit prendre place.",0
recommande,0
n'assure jeunes conducteurs,0
aucun appel reu aprs demande...,0
assurance parfait crdits nul nul nul,0
"aucun rsultat, aucune rponse ... nul",0
personne dsagrable tlphone men propose partir plutot trouver compromis.,0
rejette trop facilement client futurs client,0
heure attend joinder telephone parfois toute journee enpossible rejoindre perssone,0
conseill fais dplacer rien. perte temps.pour nous.,0
persone trs gentil accueillant super,1
conseillre trs professionnelle a rpondu parfaitement demande,1
super assurance. service qualit rdv. prix lassurance nest cher. recommande cette assurance,1
"trs bon accueil, interlocuteur trs sympathique comptente a su rpondre attentes",1
rien a dire parfait tres reactif merci,1
"sans surprise, simple efficace,",1
satisfaits,1
satisfait relationnel collaborateurs,1
super accueil,1
