text,label
"prix abordable remboursements inexistants, s'arrangent toujours trouver faille rembours ds qu'ils peuvent.",0
trs bon rapport qualit prix,1
trs rapide efficace,1
commerciale avenante agrable. a cherch rpondre toutes question,1
assurance prix comptitifs. trs bons services.,1
"trs bon change, personnes trs sympathiques tlphone. ractivit top, message clair, prcis, site facile dutilisation, rponse directe",1
pire assurance vie cela fait mois attend remboursement part.,0
a chaque fois tlphone repondent vont relancer demande bougent pa biensur jamais meme personne tlphone a eviter,0
assurance a viter a tout prix,0
"honte cette assurance. panne voiture . intervention d'un dpanneur bout h d""attente. refus remorquer vhicule, malgr problme d'alternateur.",0
satisfaite j'apprcie,1
super prix,1
"dmarches trs rapide, sav l'coute, recommande.",1
"trs satifait dela facilit s'assurer internet rapidite prix, accueil amabilite discutions comprhension, dialogues, tarifs",1
"vrai catastrophe, a fuir, patron depuis , incomptents. suivie nul, contact tlphonique incomptent suivent dossier",0
"trs satisfait personnellement. bonne couverture, bon rapport qualit prix, remboursements rapides proches.",1
service simple rapide explication claires paiement securise rapide efficace site simple precis tarifs moyenne autres assurance,1
assurance jeune dynamique rassure,1
toujours joignable rapidit folle,1
recommande vivement,1
satisfait leurs qualit engagement aider gen,1
tres professionnel sympathique,1
proche client recommande vivement efficace employes trs attentionnes,1
fort relationnel competent,1
peu desagreable,0
trop cher,0
tres decevant deconseille fortement,0
service personnel top,1
satisfait qualit service propos moins cher recommande vivement,1
l'acceuil telephonique parfais employee aimable prix meilleurs qu'ailleurs recommande vivement,1
satisfait,0
employee sympathique,1
tiens informer insatisfaction sujet qualit service,0
tiens informer mcontentement sujet suivi dossier,0
mauvaise assurance dossier non trait temp j'ose esprer qu'une solution pourra etre trouve rapidement remedier,0
"tarifs comptitifs oblig prendre avocat respect clause l'assurance emprunteur... invalidit, demande faire appliquer clause prise compte mensualits, plus personne, demande chaque fois pices complmentaires gagner temps...et lorsque j'indique accompagn d'un mdecin conseil plus personne rpond. assureur fuir.",0
trs bonne assurance sant internationale. l'application permet d'tre rembours rapidement.,1
a fuir j'ai mi toile car site permet mettre zro. mutuelle chre regard prestations qu'elle offre. service client dplorable peu ractif. plateforme internet sans cesse drangement. opacit.,0
"disponible lcoute, rponse prompte, facilit signature lectronique, tarification peu leve certainement lie ge, assurance contacter.",1
tout satisfait dlai obtenir certificat d'adhsion. a indiqu h dlai aprs jours attendons toujours. cela mets l'embarras l'offre prt.,0
"trs bons changes conseiller, bons conseils faon gnrale couverture adapte. bravo, cela rare",1
impossible avoir devi sans contact tlphonique.,0
bien recus explication claires,1
aucune rponse,0
"lors dmarche effectuer devis, ctait seulement titre dinformation. jeune dame ma tlphon affiner devis. jai expliqu gentiment ctait titre dinformation, savais linstant. a insist, ma pos questions, a dsagrable, sentie force faire devi voulais super du..",0
conseillers conseillres maaf mchants hypocrite,0
bon accueil tlphonique bien trs bonne explication devi,1
super comme toujours,1
changement vhicule changement contrat fait tlphone trs rapidement. economise beaucoup d'argent an,1
"trs bon accueil ,pas attente information claires, precis .le conseill lcoute a rpondu attentes",1
